Variable,Version,Category,Count,Position
ar,furry,camera_view,7,177034
as,furry,focus,5,177184
an,furry,scenery,4,177338
ao,furry,background,26,177402
al,furry,lighting,6,178058
ag,furry,quality,30,178341
ah,furry,style,79,178920
am,furry,mood,18,180077
ap,furry,theme,28,180359
au,furry,poses,7,180771
af,furry,expressions,16,180884
ay,furry,body,14,181156
a_,furry,body_type,12,181397
ab,furry,markings,16,181627
aw,furry,features,16,181914
ax,furry,extras,5,182188
av,furry,clothing,4,182297
ak,furry,species,16,182367
aj,furry,species_features,13,182642
aC,furry,colors,5,182878
aI,furry,patterns,5,182974
aS,furry,accessories,68,183076
aA,furry,actions,32,184187
aq,furry,extras2,6,184669
aD,furry,special,36,184768
aM,furry,species_cat,11,185442
az,furry,species_canine,61,185626
aP,furry,species_other,42,186697
aR,furry,species_mythical,30,187443
aT,furry,species_aquatic,49,187968
aN,furry,species_bird,11,188787
aL,furry,species_reptile,18,188964
aE,furry,clothing_full,244,189307
aB,furry,clothing_top,105,193412
aF,furry,clothing_bottom,20,195102
aG,furry,clothing_accessories,108,195427
aW,furry,clothing_special,212,196930
aO,furry,clothing_fantasy,134,200059
aV,furry,clothing_casual,103,202421
aU,furry,clothing_formal,17,204118
eG,legacy,focus_type,6,58412
eW,legacy,focus,8,58521
eO,legacy,scenery,5,58729
eV,legacy,background_color,47,58810
eU,legacy,background_type,6,59954
eZ,legacy,ears,23,60057
eH,legacy,expressions,36,60504
eJ,legacy,eyes_special,11,61597
eX,legacy,eyes_style,9,61829
eQ,legacy,hair_length,7,61989
eK,legacy,hair_style,34,62128
eY,legacy,hair_details,11,62785
e0,legacy,bangs,24,62982
e1,legacy,breasts,7,63473
e2,legacy,body_features,38,63622
e5,legacy,body_details,48,64182
e6,legacy,skin,7,64960
e4,legacy,legwear,5,65074
e3,legacy,dresses,37,65166
e8,legacy,skirts,8,65861
e7,legacy,muscle,11,65999
e9,legacy,tops,64,66253
te,legacy,shoes,39,67383
tt,legacy,lower_clothing,34,68087
ta,legacy,uniforms,54,68682
ti,legacy,bodysuits,11,69548
tr,legacy,swimsuit_types,21,69737
ts,legacy,accessories,346,70174
tn,legacy,upper_clothing,108,76323
to,legacy,headwear,20,77934
tl,legacy,backgrounds,122,78259
tc,legacy,swimwear,277,79965
td,legacy,bottoms,192,84027
tg,legacy,footwear,120,87653
th,legacy,eye_colors,13,89647
tm,legacy,hair_colors,18,89870
tp,legacy,hair_multicolor,7,90211
tu,legacy,colors,17,90367
tk,v4,camera_angle,7,95131
tj,v4,framing,4,95364
tC,v4,focus,8,95513
tI,v4,scenery,5,95761
tS,v4,background,49,95892
tA,v4,lighting,37,97692
tq,v4,animal_features,55,98786
tD,v4,skin,15,101010
tM,v4,eyes_special,19,101420
tz,v4,eyes_style,9,102026
tP,v4,hair_length,8,102299
tR,v4,hair_style,56,102611
tT,v4,hair_accessories,13,104539
tN,v4,bangs,32,104931
tL,v4,expressions,7,105966
tE,v4,emotions,55,106232
tB,v4,body,58,107805
tF,v4,poses,16,110515
tG,v4,actions,7,111031
tW,v4,clothing,42,111236
tO,v4,accessories,11,112897
tV,v4,background_detail,10,113372
tU,v4,atmosphere,74,113794
tZ,v4,camera,45,116193
tH,v4,quality,36,117712
tJ,v4,style,15,123334
tX,v4,effects,25,123878
tQ,v4,composition,495,124949
tK,v4,mood,147,139661
tY,v4,theme,20,143495
t0,v4,outfits_casual,127,144020
t1,v4,outfits_formal,319,148199
t2,v4,outfits_fantasy,262,157876
t5,v4,outfits_special,179,166556
t6,v4,outfits_minimal,13,171507
t4,v4,outfits_swimwear,19,171938
t3,v4,outfits_underwear,9,172496
t8,v4,outfits_accessories,18,172778
