Variable,Category,Tag,Weight,Exclude,Require,Extra,Version
eG,focus_type,dutch angle,5,[],[],[],legacy
eG,focus_type,from above,5,[],[],[],legacy
eG,focus_type,from behind,5,[],[],[],legacy
eG,focus_type,from below,5,[],[],[],legacy
eG,focus_type,from side,5,[],[],[],legacy
eG,focus_type,straight-on,5,[],[],[],legacy
eW,focus,solo focus,5,[],[],[],legacy
eW,focus,ass focus,5,"[""portrait""]",[],[],legacy
eW,focus,foot focus,5,"[""portrait"",""cowboy shot"",""upper body""]",[],[],legacy
eW,focus,hip focus,5,"[""portrait""]",[],[],legacy
eW,focus,back focus,5,[],[],[],legacy
eW,focus,breast focus,5,[],[],[],legacy
eW,focus,armpit focus,3,[],[],[],legacy
eW,focus,eye focus,5,[],[],[],legacy
eO,scenery,landscape,5,[],[],[],legacy
eO,scenery,nature,5,[],[],[],legacy
eO,scenery,scenery,5,[],[],[],legacy
eO,scenery,still life,5,[],[],[],legacy
eO,scenery,cityscape,5,[],[],[],legacy
eV,background_color,white background,5,[],[],[],legacy
eV,background_color,grey background,5,[],[],[],legacy
eV,background_color,gradient background,7,[],[],[],legacy
eV,background_color,blurry background,5,[],[],[],legacy
eV,background_color,blue background,5,[],[],[],legacy
eV,background_color,pink background,5,[],[],[],legacy
eV,background_color,black background,5,[],[],[],legacy
eV,background_color,yellow background,5,[],[],[],legacy
eV,background_color,red background,5,[],[],[],legacy
eV,background_color,two-tone background,7,[],[],[],legacy
eV,background_color,brown background,5,[],[],[],legacy
eV,background_color,green background,5,[],[],[],legacy
eV,background_color,purple background,5,[],[],[],legacy
eV,background_color,orange background,5,[],[],[],legacy
eV,background_color,floral background,5,[],[],[],legacy
eV,background_color,polka dot background,5,[],[],[],legacy
eV,background_color,striped background,5,[],[],[],legacy
eV,background_color,multicolored background,7,[],[],[],legacy
eV,background_color,starry background,5,[],[],[],legacy
eV,background_color,dark background,5,[],[],[],legacy
eV,background_color,checkered background,5,[],[],[],legacy
eV,background_color,aqua background,5,[],[],[],legacy
eV,background_color,beige background,5,[],[],[],legacy
eV,background_color,heart background,5,[],[],[],legacy
eV,background_color,argyle background,3,[],[],[],legacy
eV,background_color,halftone background,4,[],[],[],legacy
eV,background_color,sparkle background,5,[],[],[],legacy
eV,background_color,abstract background,5,[],[],[],legacy
eV,background_color,patterned background,5,[],[],[],legacy
eV,background_color,plaid background,4,[],[],[],legacy
eV,background_color,sunburst background,4,[],[],[],legacy
eV,background_color,tan background,5,[],[],[],legacy
eV,background_color,light blue background,5,[],[],[],legacy
eV,background_color,snowflake background,5,[],[],[],legacy
eV,background_color,grid background,5,[],[],[],legacy
eV,background_color,leaf background,5,[],[],[],legacy
eV,background_color,rainbow background,5,[],[],[],legacy
eV,background_color,lavender background,5,[],[],[],legacy
eV,background_color,light brown background,5,[],[],[],legacy
eV,background_color,monochrome background,5,[],[],[],legacy
eV,background_color,bubble background,5,[],[],[],legacy
eV,background_color,sepia background,5,[],[],[],legacy
eV,background_color,fiery background,5,[],[],[],legacy
eV,background_color,silver background,5,[],[],[],legacy
eV,background_color,splatter background,5,[],[],[],legacy
eV,background_color,sketch background,5,[],[],[],legacy
eV,background_color,scenery,100,[],[],[],legacy
eU,background_type,portrait,4,[],[],[],legacy
eU,background_type,upper body,5,[],[],[],legacy
eU,background_type,cowboy shot,3,[],[],[],legacy
eU,background_type,full body,4,[],[],[],legacy
eU,background_type,close-up,1,[],[],[],legacy
eU,background_type,split crop,1,[],[],[],legacy
eZ,ears,ligne claire,5,[],[],[],legacy
eZ,ears,realistic,5,[],[],[],legacy
eZ,ears,sketch,5,[],[],[],legacy
eZ,ears,jaggy lines,5,[],[],[],legacy
eZ,ears,retro artstyle,5,[],[],[],legacy
eZ,ears,toon (style),5,[],[],[],legacy
eZ,ears,western comics (style),5,[],[],[],legacy
eZ,ears,surreal,5,[],[],[],legacy
